289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
121,42200,อุ่นไอรักคลินิกเวชกรรม,กรุงเทพมหานคร,จตุพร ผาสุจิต,0.ยังไม่มี Provider ID สำหรับคลินิก,8.ไม่สนใจ,19/02/2026,"13/02/2026 ขอปรึกษากับทางหมออีกทีแล้วจะแจ้งอีกครั้ง
19/02/2026 ทางคุณแนนขอยังไม่รับตอนนี้เนื่องจาก แจ้งว่ามีเงื่อนไขค่อนข้างเยอะ เนื่องจากต้องปรับปรุงคลินิกของแต่ละสาขาทำให้ช่วงนี้ไม่ได้ ไม่ได้ใช้งานระบบเลย แล้วหมอประจำก็ค่อนข้างน้อยเลยไม่รู้ว่าต้องใช้ login ของใครที่ใช้สมัคร Provider ID ",,-,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,ไม่สนใจทั้งสองระบบ,42200,ไม่สนใจ AI,ไม่สนใจ iService,20/2/2026,"13/01 พี่หนึ่งจะติดต่อเอง
30/1/2026 รอพิจารณาเนื่องจาก ต้องปรึกษาเจ้าหน้าที่และหมอในคลินิก",มี iservice,0.ยังไม่ได้ติดต่อ,,
122,51404,บี แอนด์ จี คลินิกเวชกรรม,สุรินทร์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,51404,ติดต่อใหม่,ติดต่อใหม่,30/1/2026,"ไม่รับสาย
30/1/2026 ติดตรวจคนไข้",,0.ยังไม่ได้ติดต่อ,,
123,49330,หมอกุลภัทร์คลินิกเฉพาะทางด้านเวชกรรมกระดูกและข้อ,ปัตตานี,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ยกเลิกสัญญา,49330,ยกเลิกสัญญา,ยกเลิกสัญญา,30/1/2026,"ไม่รับสาย
30/1/2026 ในสถานะในระบบขึ้นเป็น 9.2 ซื้อแล้วยกเลิก",,0.ยังไม่ได้ติดต่อ,,
124,42221,รักษ์ลาซาลคลินิกเวชกรรม,กรุงเทพมหานคร,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,42221,รอพิจารณา,รอพิจารณา,13/1/2026,13/01 แจ้งว่า รับทราบไว้แจ้งว่า จะติดต่อคุณหนึ่งไป,,0.ยังไม่ได้ติดต่อ,,
125,52673,คลินิกเวชกรรมแพทย์วิมพ์ภัทรา,เชียงราย,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52673,ไม่สนใจ AI,ไม่สนใจ iService,30/1/2026,"ไม่รับสาย
30/1/2026 กำลังจะปิดคลินิก เลยไม่สนใจที่จะใช้งานบริการใหม่",,0.ยังไม่ได้ติดต่อ,,
126,52373,บ้านคุณหมอ คลินิกเวชกรรม,เชียงราย,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52373,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,ออกจาก สปสช. ไม่ค่อยได้ใช้ EHP,,0.ยังไม่ได้ติดต่อ,,
127,51356,คลินิกเวชกรรมแพทย์ยุทธศาสตร์ (หมอยู),สุโขทัย,อริสรา ส่วนบุญ,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,51356,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,เเจ้งว่ายังไม่สนใจ คิดว่าน่าจะยังไม่ได้ใช้,,0.ยังไม่ได้ติดต่อ,,
128,53150,คลินิกเวชกรรม เรือนไทย สำเหร่,กรุงเทพมหานคร,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,53150,รอพิจารณา,รอพิจารณา,13/1/2026,13/01 อธิบายรายละเอียด AI+iservice เเล้ว ทางคลินิกเเจ้งว่า หากสนใจจะติดต่อคุณหนึ่งไป,,0.ยังไม่ได้ติดต่อ,,
129,53281,ใกล้บ้านคลินิกเวชกรรม,ชัยภูมิ,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,53281,รอพิจารณา,รอพิจารณา,30/1/2026,"ไม่รับสาย
30/1/2026 ขอคิดดูก่อน เพราะไม่รู้ว่าจะต่อกับ สปสช. อีกอยู่ไหม อาจจะไม่ได้ทำคลินิกต่อ",,0.ยังไม่ได้ติดต่อ,,
130,53130,บ้านหมอ คลินิกเวชกรรม,สุรินทร์,จตุพร ผาสุจิต,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,12/2/2026,"12/02/26 เปิดระบบ นำส่งให้ลูกค้า
27/02/26 แพ็กเกจทดลอง Iservice หมดอายุ",,สนใจ iService,53130,ไม่สนใจ AI,สนใจ iService,20/1/2026,ให้ติดต่อคุณฝน 0968792322 / ติดต่อคุณฝนเเล้วไม่รับสาย /โทรกลับมา สนใจ iService,มี iservice,0.ยังไม่ได้ติดต่อ,,22/01/26 ยังไม่เริ่มใช้งาน
131,49700,ศุภรดาคลินิกเฉพาะทางด้านเวชกรรมกุมารเวชศาสตร์,สิงห์บุรี,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,49700,รอพิจารณา,รอพิจารณา,30/1/2026,"ไม่รับสาย
30/1/2026 ขอศุกษาข้อมูลเพิ่มเติมก่อน",,0.ยังไม่ได้ติดต่อ,,
132,53297,คลินิกเวชกรรมนายแพทย์ประพันธ์,พิจิตร,ชลธิชา ช่วยพันธ์,3.มี Provider ID สำหรับคลินิกเเล้ว,7.เคยทดลองใช้เล้วยกเลิก,09/01/2026,"- 24/09/2025 คุณหมอได้ทดลองใช้เเล้ว Feedback ประมวลผลออกมาข้อมูลไม่ค่อยตรงกับที่พูด มีการลงข้อมูลซ้ำในส่วนของ HPI กับ PI และมีการดึงข้อมูลจาก Visit เก่ามาด้วย
- 09/01/26 ไม่ได้ใช้งาน 3-4 อาทิตย์ เนื่องจากระบบไม่พิมพ์ตามที่พูด  ",,-,,,,สนใจ AI,53297,สนใจ AI,ไม่สนใจ iService,,,,0.ยังไม่ได้ติดต่อ,,
133,52240,คลินิกเฉพาะทางด้านเวชกรรมสาขาศัลยกรรมทั่วไป นพ.กฤษภณ,เพชรบูรณ์,ชลธิชา ช่วยพันธ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,27/02/26 ส่งให้คลินิกแล้ว,,สนใจ iService,52240,ไม่สนใจ AI,สนใจ iService,17/2/2026,"ไม่รับสาย
30/1/2026 ไม่รับสาย
17/02/26 สนใจ iservice ไม่สนใจ AI เนื่องจากการซักประวัติอาจจะไม่ได้เเค่พูดคุยเกี่ยวกับประวัติ",,0.ยังไม่ได้ติดต่อ,,
134,53165,คลินิกเวชกรรมนายแพทย์ธนพล2,ร้อยเอ็ด,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,53165,รอพิจารณา,รอพิจารณา,30/1/2026,"หมอบอกว่าพอดีผมเปิดคลินิกอยู่ครับ ไม่สะดวก
30/1/2026 ทดลองใช้งานสาขาแรกอยู่",,0.ยังไม่ได้ติดต่อ,,
135,53990,หมอภูมิภัทร์ คลินิกเวชกรรม,เชียงราย,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,53990,ติดต่อใหม่,ติดต่อใหม่,25/2/2026,"ไม่รับสาย เบอร์เดียวกับ รวมแพทย์คลินิก
30/1/2026 ไม่รับสาย
25/02/26 ไม่ติด ตู้ดๆๆ 16.48 น.",,0.ยังไม่ได้ติดต่อ,,
136,35567,คลินิกแพทย์ธงชัย,เพชรบูรณ์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,35567,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,หมอเสียแล้ว ปิดระบบเเล้ว,,0.ยังไม่ได้ติดต่อ,,
